[2023-05-27 11:21:50:1180][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
[2023-05-27 11:21:50:1219][main] INFO  c.z.weather.WeatherApplication - Starting WeatherApplication using Java 1.8.0_362 on LEEui-MacBookPro-2.local with PID 8366 (/Users/DONGWOO/study/weather/out/production/classes started by DONGWOO in /Users/DONGWOO/study/weather)
[2023-05-27 11:21:50:1220][main] INFO  c.z.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2023-05-27 11:21:52:3344][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-05-27 11:21:52:3425][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 2 JPA repository interfaces.
[2023-05-27 11:21:53:4159][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-05-27 11:21:53:4169][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-05-27 11:21:53:4170][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-05-27 11:21:53:4170][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
[2023-05-27 11:21:53:4279][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-05-27 11:21:53:4279][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2933 ms
[2023-05-27 11:21:53:4313][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-05-27 11:21:53:4604][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-05-27 11:21:53:4619][main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:weather'
[2023-05-27 11:21:53:4753][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-05-27 11:21:53:4830][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-05-27 11:21:54:5030][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-05-27 11:21:54:5180][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-05-27 11:21:55:5946][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-05-27 11:21:55:5959][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-05-27 11:21:56:7776][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-05-27 11:21:56:7800][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-05-27 11:21:57:8113][main] INFO  c.z.weather.WeatherApplication - Started WeatherApplication in 7.84 seconds (JVM running for 8.794)
[2023-05-27 11:23:40:111865][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-05-27 11:23:40:111867][SpringApplicationShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
[2023-05-27 11:23:41:112047][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-05-27 11:23:41:112051][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
